MMID,code,SiteID,exp,tag_sequencing,Metagenome_reads,Contigs,latitude,longitude,Altitude,sample_type,location1,location2,location3,location4,site_name,geotype1,tectonics1,tectonics2,tectonics3,tectonics4,aersub1,macrostrat_ID,macrostrat,macrostrat_type,macrostrat_siplified_type,mindat_id,mindat_lat,mindat_long,distance_to_mindat_km,mineral_list_csv,Temp,Salinity,pH,do,toc,tn,dic,co2,he,n2,doc,ch4,h2,o2,w_g,rc_ra,f,cl,so4,br,h2s,no_3,nh4,po4,li,na,nh4,k,mg,ca,si,database_solid,database_soli_id,material,rock_type,sample_name,lat_d,long_d,major_sum,sio2_d,tio2_d,al2o3_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,p2o5_d,h2op_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,DPM,CT,SedThic_On,DistCoast,DSub,DMOR,DOT,DHS,DV,DMUSGS,DEQ,HF,PV,elv,slab_name,DCS,SDepth,SDip,ConvR,ConvObl,ConvAge,code_bis,Cl_Set,Ca_Set,TAS
CR18ERF,ER_f,ER,CR18,ER180415.f_S44264,NA,NA,9.938223,-83.161331,89,fluid,Central_America,Costa_Rica,Active volcanic backarc,Rio Blanco Er Resbala,Rio Blanco Er Resbala,spring,plate margin,convergent,oceanic-continental subduction,Backarc,aerial,3190790,unclassified volcanic rocks,igneous,igneous_uncl,187365,9.70888889,-83.234722,8.70168232,"Actinolite,Alunite,Analcime,Baryte,Bornite,Calcite,Chalcocite,Chalcopyrite,Chrysocolla,Epidote,Galena,Gold,Gypsum,Hematite,Kaolinite,Magnetite,Malachite,Mesolite,Molybdenite,Muscovite,Natrolite,Offretite,Prehnite,Pyrite,Sphalerite,Thomsonite-Ca",NA,NA,NA,NA,1.39,NA,NA,0,0.4128,774.0281,NA,0.258579,0.081044,215.4285,w,6.5,0.1093074332,12.52296468,0.4256367548,0.01,NA,NA,NA,NA,0.004,7.929,0.15,0.07,0.38,1.46,NA,EarthChem,QS-011107-1,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",QS-011107-1,9.9849,-83.2187,96.7250373,44.91,1.73,15.01,9.2950373,0.17,10.58,10.28,2.51,1.6,0.64,NA,NA,NA,NA,NA,224.03,NA,623.96,NA,81.74,353.66,4.98,2.39,2.41,NA,7.36,0.87,45.74,NA,0.34,32.8,39.71,2.67,9.61,31,NA,7.92,965,2.03,0.95,4.87,NA,NA,1.55,NA,27.24,2.28,203,793.2086316,32.21002653,2324.04,31.19617281,195.5160683,687.0174298,242.8965627,1471.822008,67.10235613,1248.625658,30.02506752,96.78608745,1.684815539,192.4301828,cam,5.441083064,-149.1234741,56.15724945,8.666784287,7.962999344,106.6104584,ER,,Mature deep,Picro Basalt
CR17ESF9,ES_f,ES,CR17,ESF9.ES.F9_S38599,CR17ESF9,CR17ESF9,9.899005,-85.453514,122,fluid,Central_America,Costa_Rica,Costa Rica outer forearc,Nicoya,Estrada,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,3186035,mafic,igneous,basalt,246312,10.0077778,-85.470833,2.1504617,"Awaruite,Bornite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cubanite,Cuprite,Erlichmanite,Heazlewoodite,Laurite,Magnetite,Osmium,Pentlandite,Polydymite,Pyrite,Pyrrhotite,Samaniite,Smythite,Sugakiite,Taenite,Talc,Violarite",27,0.11,9.75,48.3,NA,NA,1.14,NA,NA,NA,1.57,NA,NA,NA,w,NA,0.01101684211,1.06332,0.16,0.00053175,NA,0.08072983871,0.28,0.0007451578947,0.0002214285714,2.292455652,0.5920227778,0.1396800512,0.04,0.31,0,EarthChem,CA-021106-7,WHOLE ROCK,"IGNEOUS, VOLCANIC, INTERMEDIATE, ANDESITE",CA-021106-7,9.8589,-84.3813,98.09,48.58,0.85,19.23,9.717948,0.2,4.67,9.9,2.6,0.94,0.32,NA,152,NA,NA,29,239.37,70,837.84,NA,30.13,89,2.81,1.67,1.19,NA,3.53,0.52,17.13,NA,0.26,1.92,16.94,3.02,3.92,12,NA,3.65,883,0.09,0.48,4.69,NA,891.7,0.86,NA,17.89,1.69,51.09,748.8502459,32.55998034,108.652,18.54635279,72.31788119,737.9488892,375.9240284,1313.067895,98.27861021,1397.108315,20.0411135,84.68998245,2.457090309,212.7793861,cam,4.113935649,-23.09407234,20.63993263,8.452852249,4.722378254,103.303894,ES,Alkaline soda springs,Mature deep,Basalt
CR17ETS,ET_s,ET,CR17,ETS.ET170220_S38570,CR17ETS,CR17ETS,10.484006,-84.675853,368,sediment,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Eco Thermales,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,285909,9.86666667,-84.7,6.89906506,"Calcite,Thomsonite-Ca",40,0.97,6.04,13.4,1.0475886,0.16,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,,,,,NA,0.05326258065,NA,,,,,,,,NA,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,692.6,40.1,12.2,58.4,172.5,772.1,364.7,1414.8,4.5,1395.9,23.5,87.1,1.6,441.4,cam,3.2,-97.9,56.3,8.5,8.1,104.1,ET,,calcite,Basaltic Andesite
CR17ETF,ET_f,ET,CR17,ETF.ET170220_S38585,NA,NA,10.484006,-84.675853,368,fluid,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Eco Thermales,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,285909,9.86666667,-84.7,6.89906506,"Calcite,Thomsonite-Ca",40,0.97,6.04,13.4,1.0475886,0.16,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,0,8.156303099,1.55,0.002444875,NA,0.05326258065,NA,0.003135263158,0.01258857143,4.294620435,0,0.65172711,3.64,1.75,NA,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,692.6,40.1,12.2,58.4,172.5,772.1,364.7,1414.8,4.5,1395.9,23.5,87.1,1.6,441.4,cam,3.2,-97.9,56.3,8.5,8.1,104.1,ET,,calcite,Basaltic Andesite
CR17FAF,FA_f,FA,CR17,FAF.FA170219_S38577,NA,NA,10.336843,-85.069499,109,fluid,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Finca Ande,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,951224,felsic,igneous,granite,215177,10.465,-85.050556,2.43779179,"Cristobalite,Kaolinite,Opal,Quartz",55,2.966,5.93,10.3,1.227636,0.19,14.22,995.1,0.00031,4.51895,0.98,0.01853,0.0014,0.25019,g,4.36,0.01929105263,20.36802141,6.19,0.007893375,0,0.02576387097,NA,0.002933684211,0.2528128571,25.03894217,3.566246111,1.669922762,1.67,2.66,NA,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,703.3,37.8,64.5,24.6,136.2,768.7,378.6,1376.8,37.5,1408.5,15.8,84.4,1.7,102,cam,5.6,-57.5,37.8,8.5,4.7,103.3,FA,Perypheral geothermal,Mature deep,Basaltic Andesite
CR17FAS,FA_s,FA,CR17,FAS.FA170219_S38595,CR17FAS,CR17FAS,10.336843,-85.069499,109,sediment,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Finca Ande,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,951224,felsic,igneous,granite,215177,10.465,-85.050556,2.43779179,"Cristobalite,Kaolinite,Opal,Quartz",55,2.966,5.93,10.3,1.227636,NA,14.22,995.1,0.00031,4.51895,0.98,0.01853,0.0014,0.25019,g,4.36,,,,,NA,0.02576387097,NA,,,,,,,,NA,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,703.3,37.8,64.5,24.6,136.2,768.7,378.6,1376.8,37.5,1408.5,15.8,84.4,1.7,102,cam,5.6,-57.5,37.8,8.5,4.7,103.3,FA,Perypheral geothermal,Mature deep,Basaltic Andesite
CR18GES,GE_s,GE,CR18,GE180403.s_S44229,CR18GES,NA,9.19483333,-83.280806,456,sediment,Central_America,Costa_Rica,Cordillera Talamanca,Gevi,Gevi,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,3193086,intrusive igneous rocks,igneous,igneous_uncl,187365,9.70888889,-83.234722,8.4434671,"Actinolite,Alunite,Analcime,Baryte,Bornite,Calcite,Chalcocite,Chalcopyrite,Chrysocolla,Epidote,Galena,Gold,Gypsum,Hematite,Kaolinite,Magnetite,Malachite,Mesolite,Molybdenite,Muscovite,Natrolite,Offretite,Prehnite,Pyrite,Sphalerite,Thomsonite-Ca",35.8,0.45,7.8,85,0.48,NA,1.22,918.7167,0,53.15,1.19,0,0,26.48606,w,NA,0.009299027222,1.076166568,1.158477341,0,NA,NA,NA,NA,0.03535533906,77.71,21.448,1.614,6.94,2.03,NA,EarthChem,TC-3,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",TC-3,9.0907,-83.2715,96.7221076,49.73,0.9,17.84,8.9621076,0.19,4.52,9.55,2.83,1.8,0.4,NA,NA,NA,NA,NA,275.37,NA,802.24,NA,50.1,19.9,3.41,1.71,1.57,NA,4.64,0.63,23.69,NA,0.24,5.15,26.42,3.64,6.56,38,NA,5.33,1177,0.22,0.62,3.13,NA,NA,1.2,NA,18.12,1.6,100,866.9100943,29.82916283,850.658,41.22670932,125.1658891,605.86616,166.3115859,1402.824237,92.05107847,1191.639235,18.25339813,112.0007578,1.896369218,544.1591454,cam,2.185411215,-67.97796631,40.57641602,8.71883297,7.915157318,107.4337692,GE,Perypheral geothermal,Mature deep,Basalt
CR18HAF,HA_f,HA,CR18,HA180403.f_S44263,NA,NA,9.36022,-83.91664,118,fluid,Central_America,Costa_Rica,Cordillera Talamanca,Hattillo,Hattillo,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,3188281,felsic,igneous,granite,17972,9.8,-84.100278,21.0477619,"Calcite,Epidote,Laumontite,Thomsonite-Ca",33,4.97,8.9,26,NA,NA,0.12,31.24441,0.41874,930.0755,NA,0.30934,0.074795,31.21302,g,1.67,0.05281145649,27.37840709,9.876153793,0.02,NA,NA,NA,NA,0.008,20.425,0.251,0.237,1.34,7.12,NA,EarthChem,P08317,whole_rock,"IGNEOUS, VOLCANIC, UNKNOWN, NOT-GIVEN",P08317,10.2,-84.217,96.24,49.1,1.05,15.52,9.47,0.15,7.11,9.44,2.46,1.52,0.42,NA,490,NA,NA,27,450.28,68,310.55,NA,14.28,99,3.4,2.01,1.03,NA,3.26,0.67,7.47,NA,0.31,1.55,11.15,0.79,2.38,17,NA,3.15,417,0.1,0.54,0.74,NA,NA,0.37,NA,20.89,2.02,45,830.7801997,30.90600856,166.84,39.6497427,97.15983261,632.6338149,215.0836638,1368.919321,68.80657058,1246.361014,9.278827013,112.882814,2.002723363,339.1472826,cam,4.478623003,-45.59807205,34.47200394,8.614129066,8.011993408,105.7864227,HA,Deep Chloride-sulfate,Mature deep,Basalt
CR18HAS,HA_s,HA,CR18,HA180403.s_S44241,NA,NA,9.36022,-83.91664,118,sediment,Central_America,Costa_Rica,Cordillera Talamanca,Hattillo,Hattillo,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,3188281,felsic,igneous,granite,17972,9.8,-84.100278,21.0477619,"Calcite,Epidote,Laumontite,Thomsonite-Ca",33,4.97,8.9,26,NA,NA,0.12,31.24441,0.41874,930.0755,NA,0.30934,0.074795,31.21302,g,1.67,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,P08317,whole_rock,"IGNEOUS, VOLCANIC, UNKNOWN, NOT-GIVEN",P08317,10.2,-84.217,96.24,49.1,1.05,15.52,9.47,0.15,7.11,9.44,2.46,1.52,0.42,NA,490,NA,NA,27,450.28,68,310.55,NA,14.28,99,3.4,2.01,1.03,NA,3.26,0.67,7.47,NA,0.31,1.55,11.15,0.79,2.38,17,NA,3.15,417,0.1,0.54,0.74,NA,NA,0.37,NA,20.89,2.02,45,830.7801997,30.90600856,166.84,39.6497427,97.15983261,632.6338149,215.0836638,1368.919321,68.80657058,1246.361014,9.278827013,112.882814,2.002723363,339.1472826,cam,4.478623003,-45.59807205,34.47200394,8.614129066,8.011993408,105.7864227,HA,Deep Chloride-sulfate,Mature deep,Basalt
CR18LBS,LB_s,LB,CR18,LB180410.s_S44252,CR18LBS,NA,8.80736,-79.79061,26,sediment,Central_America,Panama,Panama slab window,Los Bajos,Los Bajos,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951702,felsic,igneous,granite,300981,9.07694444,-79.675278,13.8927934,"Analcime,Clinochlore",34.8,25.35,NA,70,1.17,NA,17.74,NA,NA,NA,NA,NA,NA,NA,w,NA,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,CG-05-24-06-3B,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,DACITE",CG-05-24-06-3B,8.6244,-80.1193,99.3485611,68.06,0.25,17.5,2.0785611,0.06,1.07,4.13,4.62,1.52,0.06,NA,16,NA,NA,21,NA,37,486.05,NA,16.85,NA,0.86,0.22,0.56,NA,NA,0.14,8.15,NA,0.03,1.88,6.89,4.91,1.76,13,NA,1.43,787,0.07,0.19,2.45,NA,NA,1.17,NA,4.47,0.39,84.7,1080.1,24,463.1,17.7,205.8,640.6,349.2,1667.7,48.7,940.8,124.1,79,1.9,27.9,sam,234.3,-8.5,7.4,2.6,-0.4,109.3,LB,,Mature deep,Rhyolite
CR18LBF,LB_f,LB,CR18,LB180410.f_S44262,NA,NA,8.80736,-79.79061,26,fluid,Central_America,Panama,Panama slab window,Los Bajos,Los Bajos,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951702,felsic,igneous,granite,300981,9.07694444,-79.675278,13.8927934,"Analcime,Clinochlore",34.8,25.35,NA,70,1.17,NA,17.74,NA,NA,NA,NA,NA,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403,135.055,NA,2.686,4.5,0.42,NA,EarthChem,CG-05-24-06-3B,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,DACITE",CG-05-24-06-3B,8.6244,-80.1193,99.3485611,68.06,0.25,17.5,2.0785611,0.06,1.07,4.13,4.62,1.52,0.06,NA,16,NA,NA,21,NA,37,486.05,NA,16.85,NA,0.86,0.22,0.56,NA,NA,0.14,8.15,NA,0.03,1.88,6.89,4.91,1.76,13,NA,1.43,787,0.07,0.19,2.45,NA,NA,1.17,NA,4.47,0.39,84.7,1080.1,24,463.1,17.7,205.8,640.6,349.2,1667.7,48.7,940.8,124.1,79,1.9,27.9,sam,234.3,-8.5,7.4,2.6,-0.4,109.3,LB,,Mature deep,Rhyolite
CR18LES,LE_s,LE,CR18,LE180416.s_S44244,CR18LES,NA,10.427103,-84.368543,153,sediment,Central_America,Costa_Rica,Active volcanic arc,Las Estrella,Las Estrella,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188297,intermediate-felsic,igneous,andesite,21899,10.0463889,-84.343889,4.98473467,"Opal,Actinolite,Osmium,Alunite,Pararealgar,Analcime,Pentlandite,Anorthite,Polydymite,Arsenic,Prehnite,Arsenolite,Pyrite,Augite,Pyrolusite,Awaruite,Pyrrhotite,Baryte,Quartz,Bornite,Realgar,Braunite,Rhodonite,Brucite,Samaniite,Calcite,Schreibersite,Chabazite-Ca,Scolecite,Chalcocite,Smythite,Chalcopyrite,Sphalerite,Chromite,Stibnite,Chrysocolla,Sugakiite,Copper,Sulphur,Covellite,Taenite,Cowlesite,Talc,Cristobalite,Thomsonite-Ca,Cubanite,Todorokite,Cuprite,Troilite,Dolomite,Tschernichite,Epidote,Vermiculite,Epistilbite,Violarite,Erlichmanite,Fluorapophyllite-(K),Galena,Garronite-Ca,Goethite,Gold,Gonnardite,Gypsum,Gyrolite,Heazlewoodite,Hematite,Hollandite,Iron,Isocubanite,Kaolinite,Laumontite,Laurite,Mackinawite,Magnetite,Malachite,Marcasite,Mesolite,Molybdenite,Mordenite,Muscovite,Natrolite,Offretite,Okenite",NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,NA,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,AR-020206-3,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",AR.020206-3,10.4688,-84.0297,95.828119,49.6,1,18.25,8.908119,0.34,4.31,9.78,2.61,0.81,0.22,NA,117,NA,NA,38,297.66,70,333.1,NA,15.96,114,4.16,2.7,1.14,NA,3.91,0.86,7.42,NA,0.47,2.75,12.45,1.89,2.58,13,NA,3.49,439,0.16,0.61,0.72,NA,NA,0.2,NA,28.33,2.89,63.02,704.8,39.9,145.4,65.2,180.7,758.1,341.1,1429.5,14.1,1371.4,24.6,89.1,1.6,173.7,cam,5.7,-131.1,60.7,8.5,8.1,104.1,LE,,Ca rich,Basalt
CR18LEF,LE_f,LE,CR18,LE180416.f_S44279,NA,NA,10.427103,-84.368543,153,fluid,Central_America,Costa_Rica,Active volcanic arc,Las Estrella,Las Estrella,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188297,intermediate-felsic,igneous,andesite,21899,10.0463889,-84.343889,4.98473467,"Opal,Actinolite,Osmium,Alunite,Pararealgar,Analcime,Pentlandite,Anorthite,Polydymite,Arsenic,Prehnite,Arsenolite,Pyrite,Augite,Pyrolusite,Awaruite,Pyrrhotite,Baryte,Quartz,Bornite,Realgar,Braunite,Rhodonite,Brucite,Samaniite,Calcite,Schreibersite,Chabazite-Ca,Scolecite,Chalcocite,Smythite,Chalcopyrite,Sphalerite,Chromite,Stibnite,Chrysocolla,Sugakiite,Copper,Sulphur,Covellite,Taenite,Cowlesite,Talc,Cristobalite,Thomsonite-Ca,Cubanite,Todorokite,Cuprite,Troilite,Dolomite,Tschernichite,Epidote,Vermiculite,Epistilbite,Violarite,Erlichmanite,Fluorapophyllite-(K),Galena,Garronite-Ca,Goethite,Gold,Gonnardite,Gypsum,Gyrolite,Heazlewoodite,Hematite,Hollandite,Iron,Isocubanite,Kaolinite,Laumontite,Laurite,Mackinawite,Magnetite,Malachite,Marcasite,Mesolite,Molybdenite,Mordenite,Muscovite,Natrolite,Offretite,Okenite",NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,NA,NA,17.55732942,0.3789645361,0.02,NA,NA,NA,NA,0.005,11.374,0.273,0.62,2.4,14.06,NA,EarthChem,AR-020206-3,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",AR.020206-3,10.4688,-84.0297,95.828119,49.6,1,18.25,8.908119,0.34,4.31,9.78,2.61,0.81,0.22,NA,117,NA,NA,38,297.66,70,333.1,NA,15.96,114,4.16,2.7,1.14,NA,3.91,0.86,7.42,NA,0.47,2.75,12.45,1.89,2.58,13,NA,3.49,439,0.16,0.61,0.72,NA,NA,0.2,NA,28.33,2.89,63.02,704.8,39.9,145.4,65.2,180.7,758.1,341.1,1429.5,14.1,1371.4,24.6,89.1,1.6,173.7,cam,5.7,-131.1,60.7,8.5,8.1,104.1,LE,,Ca rich,Basalt
CR18LHS,LH_s,LH,CR18,LH180406.s_S44287,CR18LHS,NA,8.87095,-82.6899,1676,sediment,Central_America,Panama,Cordillera Talamanca,NA,Los Pozos Thermales (hot),spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,948780,felsic,igneous,granite,155979,8.63305556,-82.199722,60.0121585,"""Bornite,Chalcopyrite,Copper,Epidote,Magnetite,Malachite,Muscovite,Pyrite,Quartz""",55.4,8.43,6.7,12,0.42,NA,33.54,997.3325,0.000147,2.0435,NA,0.0000962,0.000907,0.574984,g,7.63,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,M65A KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M65A KH,8.47,-82.71,99.49,55.96,0.94,15.86,6.99,0.1,5.36,7.66,2.93,2.81,0.47,NA,NA,NA,NA,NA,NA,NA,1438.84,NA,127.81,90.79,3.12,1.4,2.07,NA,6.08,0.54,66.56,NA,0.17,10.66,52.55,NA,14.69,49,NA,7.72,2006,0.7,0.67,NA,NA,NA,NA,NA,11.75,1.15,182,921.8772654,26.83302664,1360.54,51.62784338,127.6910863,566.4995959,121.7869469,1424.035503,17.70654703,1125.076365,31.9567848,109.2791729,2.036595929,1905.887,cam,23.28984046,-70.14575958,44.25093079,8.770270348,7.868440151,108.2528381,LH,Perypheral geothermal,Mature deep,Andesite
CR18LHF,LH_f,LH,CR18,LH180406.f_S44272,NA,NA,8.87095,-82.6899,1676,fluid,Central_America,Panama,Cordillera Talamanca,NA,Los Pozos Thermales (hot),spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,948780,felsic,igneous,granite,155979,8.63305556,-82.199722,60.0121585,"""Bornite,Chalcopyrite,Copper,Epidote,Magnetite,Malachite,Muscovite,Pyrite,Quartz""",55.4,8.43,6.7,12,0.42,NA,33.54,997.3325,0.000147,2.0435,NA,0.0000962,0.000907,0.574984,g,7.63,NA,37.97421939,2.533520716,0.03,NA,NA,NA,NA,0.12,31.023,NA,1.255,0.65,0.43,NA,EarthChem,M65A KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M65A KH,8.47,-82.71,99.49,55.96,0.94,15.86,6.99,0.1,5.36,7.66,2.93,2.81,0.47,NA,NA,NA,NA,NA,NA,NA,1438.84,NA,127.81,90.79,3.12,1.4,2.07,NA,6.08,0.54,66.56,NA,0.17,10.66,52.55,NA,14.69,49,NA,7.72,2006,0.7,0.67,NA,NA,NA,NA,NA,11.75,1.15,182,921.8772654,26.83302664,1360.54,51.62784338,127.6910863,566.4995959,121.7869469,1424.035503,17.70654703,1125.076365,31.9567848,109.2791729,2.036595929,1905.887,cam,23.28984046,-70.14575958,44.25093079,8.770270348,7.868440151,108.2528381,LH,Perypheral geothermal,Mature deep,Andesite
CR18LPS,LP_s,LP,CR18,LP180406.s_S44237,CR18LPS,NA,8.86966,-82.69282,1651,sediment,Central_America,Panama,Cordillera Talamanca,NA,Los Pozos Thermales (warm),spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,948780,felsic,igneous,granite,155979,8.63305556,-82.199722,60.0121585,"""Bornite,Chalcopyrite,Copper,Epidote,Magnetite,Malachite,Muscovite,Pyrite,Quartz""",39.1,5.88,6.5,32,3.49,NA,31.33,991.2468,0.000283,6.794414,NA,0.000207,0.0002,1.888973,g,7,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,M65A KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M65A KH,8.47,-82.71,99.49,55.96,0.94,15.86,6.99,0.1,5.36,7.66,2.93,2.81,0.47,NA,NA,NA,NA,NA,NA,NA,1438.84,NA,127.81,90.79,3.12,1.4,2.07,NA,6.08,0.54,66.56,NA,0.17,10.66,52.55,NA,14.69,49,NA,7.72,2006,0.7,0.67,NA,NA,NA,NA,NA,11.75,1.15,182,921.8987809,26.83401233,1356.15,51.80973647,127.403043,566.3618659,121.6171928,1423.703416,17.94941476,1125.18063,31.69270258,109.3421292,2.038102102,1844.391429,cam,22.95899653,-70.14575958,44.25093079,8.770270348,7.868440151,108.2528381,LP,Perypheral geothermal,Mature deep,Andesite
CR18LPF,LP_f,LP,CR18,LP180406.f_S44271,NA,NA,8.86966,-82.69282,1651,fluid,Central_America,Panama,Cordillera Talamanca,NA,Los Pozos Thermales (warm),spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,948780,felsic,igneous,granite,155979,8.63305556,-82.199722,60.0121585,"""Bornite,Chalcopyrite,Copper,Epidote,Magnetite,Malachite,Muscovite,Pyrite,Quartz""",39.1,5.88,6.5,32,3.49,NA,31.33,991.2468,0.000283,6.794414,NA,0.000207,0.0002,1.888973,g,7,0.005614507002,30.44622458,1.739156083,0.02,NA,NA,NA,NA,0.121,30.18,0.178,1.493,0.94,1.36,NA,EarthChem,M65A KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M65A KH,8.47,-82.71,99.49,55.96,0.94,15.86,6.99,0.1,5.36,7.66,2.93,2.81,0.47,NA,NA,NA,NA,NA,NA,NA,1438.84,NA,127.81,90.79,3.12,1.4,2.07,NA,6.08,0.54,66.56,NA,0.17,10.66,52.55,NA,14.69,49,NA,7.72,2006,0.7,0.67,NA,NA,NA,NA,NA,11.75,1.15,182,921.8987809,26.83401233,1356.15,51.80973647,127.403043,566.3618659,121.6171928,1423.703416,17.94941476,1125.18063,31.69270258,109.3421292,2.038102102,1844.391429,cam,22.95899653,-70.14575958,44.25093079,8.770270348,7.868440151,108.2528381,LP,Perypheral geothermal,Mature deep,Andesite
